id,nome,cpf,data_nascimento
1,Gabriela Silva,433.218.196-43,1952-11-07
2,Antonio Souza,338.908.386-34,1969-10-11
3,Igor Rocha,402.654.235-11,1959-03-04
4,Eduarda Ferreira,155.940.781-69,1983-12-17
5,Eduarda Cardoso,495.931.034-06,1957-02-27
6,Patricia Oliveira,647.525.534-30,1956-05-28
7,Vinicius Costa,832.764.835-72,1955-01-07
8,Patricia Santos,564.139.537-48,1985-06-30
9,Joao Pereira,423.884.969-85,1985-10-31
10,Daniel Almeida,287.101.226-13,2003-07-05
11,Daniela Ferreira,697.848.018-50,1973-12-09
12,Bruno Oliveira,462.704.828-95,1959-07-19
13,Valter Mendes,932.528.809-54,1979-01-30
14,Marcos Silva,154.303.911-15,1993-08-07
15,Daniela Cardoso,227.824.896-07,1969-01-01
16,Rafael Rodrigues,465.787.133-10,1955-09-30
17,Bruno Silva,983.930.103-90,1956-01-18
18,Beatriz Gomes,183.473.829-64,2001-09-11
19,Lucas Almeida,763.116.566-12,1991-11-25
20,Camila Oliveira,065.133.387-35,1962-07-30
21,Henrique Costa,473.178.108-60,1951-04-29
22,Eduarda Almeida,267.736.026-88,1950-03-12
23,Eduardo Carvalho,746.872.343-56,1955-04-01
24,Thiago Cardoso,050.097.882-41,1955-02-07
25,Nicolas Souza,219.136.193-54,2001-12-09
26,Vinicius Santos,916.998.543-00,1978-03-10
27,Rafaela Carvalho,624.751.079-95,2000-07-05
28,Fernanda Souza,838.425.135-50,1975-07-27
29,Julia Araujo,849.808.412-10,1973-09-23
30,Gabriela Oliveira,824.493.534-02,1995-05-06
31,Marcos Carvalho,016.400.524-29,1964-06-30
32,Igor Cardoso,680.112.805-11,2002-04-05
33,Samuel Pereira,620.450.533-50,1959-03-23
34,Carlos Cardoso,692.322.602-39,1979-10-21
35,Gabriel Almeida,421.607.337-92,1981-05-15
36,Valter Almeida,303.654.145-49,1995-09-14
37,Felipe Cardoso,501.429.401-43,2003-07-10
38,Henrique Ribeiro,569.816.934-96,1953-12-25
39,Henrique Silva,883.561.595-04,1961-03-07
40,Valter Mendes,465.648.236-65,1984-01-06
41,Larissa Dias,946.804.436-00,2002-01-12
42,Vinicius Gomes,777.387.214-72,1996-03-30
43,William Gomes,134.332.003-86,1992-08-17
44,William Souza,769.367.632-51,1950-07-01
45,Fernanda Martins,328.708.317-14,1961-12-18
46,Joao Mendes,895.798.687-19,1964-04-12
47,Lucas Araujo,434.873.471-21,1975-08-20
48,Rafaela Carvalho,558.122.362-91,1969-03-12
49,Daniela Martins,658.760.366-17,2002-05-27
50,Antonio Rocha,670.546.688-04,2004-02-14
51,Patricia Nascimento,346.706.562-79,1991-12-07
52,Helena Dias,806.990.162-40,1991-06-03
53,Larissa Santos,465.375.564-73,1987-10-27
54,Sofia Souza,708.053.100-45,1972-03-08
55,Mariana Silva,923.271.937-10,1972-12-27
56,Daniel Costa,991.241.904-97,2001-08-28
57,Eduardo Ferreira,319.314.919-50,1953-09-07
58,Carlos Cardoso,651.850.671-79,1988-11-22
59,Daniel Araujo,262.849.877-49,1989-01-28
60,Thiago Carvalho,531.473.799-06,1984-01-01
61,Bruno Silva,752.735.454-20,2003-06-26
62,Taina Cardoso,083.136.783-05,1992-09-17
63,Marcos Araujo,014.363.495-08,1992-06-16
64,Samuel Mendes,568.557.444-43,1970-09-07
65,Gabriela Rodrigues,518.233.749-30,1997-01-25
66,Vinicius Lima,134.352.408-30,1961-05-10
67,Taina Santos,084.271.094-90,1992-02-11
68,Lucas Araujo,520.471.167-83,1956-08-24
69,Tiago Santos,229.413.186-07,2004-05-24
